hardness_mgL,conductivity_uScm
101.16040000000001,237.0
30.2972,103.0
159.9054,302.0
40.9426,155.0
36.3997,112.0
14.106,96.0
171.024,382.0
38.1476,286.0
70.03960000000001,255.0
3.3951000000000002,373.0
34.340700000000005,116.0
126.54220000000001,277.0
26.1751,74.0
83.8648,226.0
36.3252,110.0
66.8238,176.0
11.1972,60.0
100.801,249.0
117.58,303.0
29.596400000000003,88.0
240.678,507.0
73.8506,173.0
27.2132,76.0
213.34199999999998,462.0
124.895,315.0
43.9914,140.0
69.2684,188.0
130.065,308.0
124.15,290.0
176.018,396.0
71.8178,167.0
11.7711,340.0
118.587,316.0
18.811,84.0
241.685,927.0
105.926,249.0
83.8386,173.0
18.6489,84.0
17.163800000000002,72.0
31.5195,103.0
210.84499999999997,430.0
10.5226,1740.0
87.133,209.0
175.142,472.0
145.2566,320.0
34.8401,92.0
222.454,453.0
12.344999999999999,408.0
99.356,280.0
175.887,391.0
103.6574,228.0
106.67099999999999,239.0
105.8736,250.0
28.685200000000002,97.0
198.229,411.0
144.0736,277.0
43.553399999999996,139.0
31.668499999999998,88.0
33.355,109.0
92.1532,212.0
65.1242,172.0
160.7552,301.0
281.637,811.0
73.027,204.0
31.7299,232.0
188.24099999999999,375.0
104.14779999999999,267.0
169.665,344.0
150.32920000000001,363.0
62.0844,533.0
28.273400000000002,89.0
155.911,380.0
170.63840000000002,463.0
26.0916,74.0
179.26,360.0
43.965199999999996,139.0
83.4268,202.0
28.8604,84.0
29.3729,90.0
88.3684,228.0
43.1416,133.0
140.053,275.0
19.0869,84.0
15.3807,349.0
173.39,354.0
30.709,89.0
39.8734,100.0
65.9216,210.0
121.1888,362.0
125.7448,327.0
31.2698,82.0
189.993,429.0
71.3536,174.0
38.620799999999996,100.0
212.466,413.0
40.6708,129.0
254.03900000000002,717.0
36.0624,102.0
321.589,901.0
208.348,452.0
28.799,80.0
18.3992,63.0
70.1182,167.0
273.401,518.0
154.29,325.0
113.331,353.0
14.5047,80.0
24.3789,110.0
722.738,1380.0
136.5564,282.0
57.116600000000005,1390.0
137.0468,312.0
162.526,389.0
86.7212,235.0
41.4944,108.0
167.651,351.0
34.836,123.0
27.647100000000002,760.0
200.65479999999997,376.0
24.554100000000002,77.0
121.1888,300.0
171.638,340.0
172.514,347.0
65.974,145.0
83.24340000000001,298.0
130.196,513.0
130.941,262.0
36.5004,105.0
126.1566,276.0
124.12379999999999,289.0
93.8528,282.0
36.0755,113.0
62.9604,712.0
